"Номенклатурный номер";"Наименование";"Производитель";"Количество";"Цена, руб.";"Условия поставки";"Сумма, руб."
"8520927605";"CP2102N-A01-GQFN28";"Silicon Labs";1;160,00;"2-4 недели Под заказ из г.Москва";160,00
"9000095417";"BC817.215, Транзистор NPN 45В 0.5А [SOT-23]";"NXP";2;2,00;"2-3 рабочих дня Со склада из г.Москва";4,00
"9000414316";"TO-2013BC-MRE, Светодиод красный SMD 2013, 112мКд, 120°, 630нМ (Ultra Bright Red)";"OASISTEK";2;4,00;"2-3 рабочих дня Со склада из г.Москва";8,00
"9000414318";"TO-2013BC-PG, Светодиод зеленый SMD 2013, 705мКд, 120°, 525нМ (Pure Green)";"OASISTEK";2;6,00;"2-3 рабочих дня Со склада из г.Москва";12,00
"9000414327";"TO-2013BC-BF, Светодиод синий SMD 2013, 247мКд, 120°, 468нМ (Blue)";"OASISTEK";2;5,00;"2-3 рабочих дня Со склада из г.Москва";10,00
"9000414319";"TO-2013BC-MYF, Светодиод желтый SMD 2013, 247мКд, 120°, 592нМ (High Bright Yellow)";"OASISTEK";1;3,00;"По запросу ";3,00
"9000260618";"SMF100A, Диод защитный 100В 175Вт [SOD-123FL]";"YT";1;2,00;"2-3 рабочих дня Со склада из г.Москва";2,00
"9000543851";"LM8805SF5-3.3, ULDO регулятор напряжения, 3.3В, 0.6А [SOT-23-5L]";"HTC Korea";1;30,00;"2-3 рабочих дня Со склада из г.Москва";30,00
"9000336848";"KLS7-TS6604-5.0-180 (IT-1102SA), Кнопка тактовая 6х6х5мм SMD";"KLS";2;5,00;"2-3 рабочих дня Со склада из г.Москва";10,00
"9000079502";"0.125Вт 0805 4.7 кОм, 1%, Чип резистор (SMD)";"Тайвань";1;0,90;"2-3 рабочих дня Со склада из г.Москва";0,90
"9000079514";"0.125Вт 0805 10 кОм, 1%, Чип резистор (SMD)";"Тайвань";2;0,90;"2-3 рабочих дня Со склада из г.Москва";1,80
"811944944";"0.125Вт 0805 2 кОм, 5%, Чип резистор (SMD)";"Тайвань";2;0,90;"2-3 рабочих дня Со склада из г.Москва";1,80
"579851680";"Кер.ЧИП конд. 10мкФ X5R 10% 10В 0805, GRM21BR61A106K";"Murata";10;9,00;"2-3 рабочих дня Со склада из г.Москва";90,00
"579760124";"Кер.ЧИП конд. 1 мкФ X7R 10% 25В 0805, GRM21BR71E105K";"Murata";10;7,00;"2-3 рабочих дня Со склада из г.Москва";70,00
"860640216";"Кер.ЧИП конд. 0.1 мкФ X7R 50В 10% 0805, GRM21BR71H104K**";"Murata";10;6,00;"2-3 рабочих дня Со склада из г.Москва";60,00
"";;;;;"Сумма товаров в заказе, руб.:";463,50
"";;;;;"Кол-во товаров в заказе:";15
